university_name,city,province,website_url,fest_categories,sample_programs
Federal Urdu University,,,http://fuuastisb.edu.pk,"Engineering,IT/CS,Sciences","Computer Science, Software Engineering, Electrical Engineering, Mechanical Engineering, Physics"
"University of Engineering & Technology, Peshawar",,,http://uetpeshawar.edu.pk,"Engineering,IT/CS","Bs Program Focused On Software Development, Phd Software Engineering, Phd Telecom Engineering"
Muhammad Nawaz Sharif University of Engineering & Technology,,,http://mnsuet.edu.pk,"Engineering,IT/CS,Sciences","Bs Chemistry, Bs Computer Science, Bs Mathematics, Bs Physics, Bsc Chemical Engineering, Bsc Civil Engineering Technology, Bsc Electrical Engineering, Bsc Electrical Engineering Technology, Bsc Mechanical Engineering Technology, Msc Chemical Engineering"
Khawaja Fareed University of Engineering and Information Technology,,,http://kfueit.edu.pk,"Engineering,IT/CS,Sciences","Bs Agricultural Engineering, Bs Artificial Intelligence, Bs Biochemistry, Bs Biotechnology, Bs Botany, Bs Chemical Engineering, Bs Chemistry, Bs Civil Engineering, Bs Computational Physics, Bs Computer Engineering"
NED University of Engineering & Technology,Karachi,Sindh,http://www.neduet.edu.pk/,"Engineering,IT/CS","Be Electrical Engineering, Be Mechanical Engineering, Be Civil Engineering, Bsc Engineering (Computer/Software), Ms Electrical Engineering"
Pakistan Navy Engineering College,,,http://pnec.nust.edu.pk,Engineering,"Be Mechanical Engineering Course List, Ms Communications Engineering, Ms Communications Engineering Course List, Ms Control Engineering, Ms Control Engineering Course List, Phd Electrical Engineering, Phd Mechanical Engineering And Robotics"
Gilgit-Baltistan,,,https://web.archive.org/web/20151222132257/https://www.kiu.edu.pk/campuses.php,"Engineering,IT/CS,Sciences","Computer Science, Software Engineering, Electrical Engineering, Mechanical Engineering, Physics"
Karachi,,,http://Civi.edu.pk,IT/CS,Be Fully Computerised
Lahore,,,https://web.archive.org/web/20070519064738/http://www.pu.edu.pk/about/,"Engineering,IT/CS,Sciences","Be Subject To Availability Of A Computer L, Computer Science, Software Engineering, Electrical Engineering, Mechanical Engineering, Physics"
Madrassas,,,https://www.brookings.edu/articles/pakistans-madrassahs-ensuring-a-system-of-education-not-jihad/,"Engineering,IT/CS,Sciences","Computer Science, Software Engineering, Electrical Engineering, Mechanical Engineering, Physics"
NAVTTC,,,,"Engineering,IT/CS,Sciences","Computer Science, Software Engineering, Electrical Engineering, Mechanical Engineering, Physics"
NCH,,,,"Engineering,IT/CS,Sciences","Computer Science, Software Engineering, Electrical Engineering, Mechanical Engineering, Physics"
PBC,,,,"Engineering,IT/CS,Sciences","Computer Science, Software Engineering, Electrical Engineering, Mechanical Engineering, Physics"
PCATP,,,,"Engineering,IT/CS,Sciences","Computer Science, Software Engineering, Electrical Engineering, Mechanical Engineering, Physics"
PCP,,,,"Engineering,IT/CS,Sciences","Computer Science, Software Engineering, Electrical Engineering, Mechanical Engineering, Physics"
PNC,,,,"Engineering,IT/CS,Sciences","Computer Science, Software Engineering, Electrical Engineering, Mechanical Engineering, Physics"
Abbottabad,,,http://biseatd.edu.pk,"Engineering,IT/CS,Sciences","Computer Science, Software Engineering, Electrical Engineering, Mechanical Engineering, Physics"
AJK,,,https://ajkbise.edu.pk/,"Engineering,IT/CS,Sciences","Computer Science, Software Engineering, Electrical Engineering, Mechanical Engineering, Physics"
Bahawalpur,,,http://bisebwp.edu.pk,"Engineering,IT/CS,Sciences","Computer Science, Software Engineering, Electrical Engineering, Mechanical Engineering, Physics"
Bannu,,,http://www.biseb.edu.pk/,"Engineering,IT/CS,Sciences","Computer Science, Software Engineering, Electrical Engineering, Mechanical Engineering, Physics"
Catholic,,,https://web.archive.org/web/20091119093346/http://www.cbe.edu.pk/cbe.htm,"Engineering,IT/CS,Sciences","Computer Science, Software Engineering, Electrical Engineering, Mechanical Engineering, Physics"
Dera Ghazi Khan,,,http://www.bisedgkhan.edu.pk/,"Engineering,IT/CS,Sciences","Computer Science, Software Engineering, Electrical Engineering, Mechanical Engineering, Physics"
Hyderabad,,,http://www.biseh.edu.pk/,"Engineering,IT/CS,Sciences","Computer Science, Software Engineering, Electrical Engineering, Mechanical Engineering, Physics"
Karachi (intermediate),,,http://biek.edu.pk,"Engineering,IT/CS,Sciences","Computer Science, Software Engineering, Electrical Engineering, Mechanical Engineering, Physics"
Karachi (secondary),,,http://bsek.edu.pk,"Engineering,IT/CS,Sciences","Computer Science, Software Engineering, Electrical Engineering, Mechanical Engineering, Physics"
Lahore,,,,"Engineering,IT/CS,Sciences","Be Subject To Availability Of A Computer L, Computer Science, Software Engineering, Electrical Engineering, Mechanical Engineering, Physics"
Peshawar,,,https://bisep.edu.pk,"Engineering,IT/CS,Sciences","Computer Science, Software Engineering, Electrical Engineering, Mechanical Engineering, Physics"
Rawalpindi,,,http://www.biserawalpindi.edu.pk/,"Engineering,IT/CS,Sciences","Computer Science, Software Engineering, Electrical Engineering, Mechanical Engineering, Physics"
Sargodha,,,http://bisesargodha.edu.pk,"Engineering,IT/CS,Sciences","Computer Science, Software Engineering, Electrical Engineering, Mechanical Engineering, Physics"
PERN,,,https://must.edu.pk/hec-projects/,"Engineering,IT/CS,Sciences","Computer Science, Software Engineering, Electrical Engineering, Mechanical Engineering, Physics"
PSF,,,,"Engineering,IT/CS,Sciences","Computer Science, Software Engineering, Electrical Engineering, Mechanical Engineering, Physics"
Daanish Schools,,,http://daanishschools.edu.pk,"Engineering,IT/CS,Sciences","Computer Science, Software Engineering, Electrical Engineering, Mechanical Engineering, Physics"
TDF,,,https://dps.edu.pk/index.php,"Engineering,IT/CS,Sciences","Computer Science, Software Engineering, Electrical Engineering, Mechanical Engineering, Physics"
TCF,,,,"Engineering,IT/CS,Sciences","Computer Science, Software Engineering, Electrical Engineering, Mechanical Engineering, Physics"
Pakistani students abroad,,,http://www.map.edu.pt/,"Engineering,IT/CS,Sciences","Computer Science, Software Engineering, Electrical Engineering, Mechanical Engineering, Physics"
