university_name,wiki_url
Gujranwala,"https://en.wikipedia.org/wiki/Board_of_Intermediate_and_Secondary_Education,_Gujranwala"
Hyderabad,"https://en.wikipedia.org/wiki/Board_of_Intermediate_and_Secondary_Education,_Hyderabad"
Karachi (intermediate),"https://en.wikipedia.org/wiki/Board_of_Intermediate_Education,_Karachi"
Karachi (secondary),"https://en.wikipedia.org/wiki/Board_of_Secondary_Education,_Karachi"
Lahore,"https://en.wikipedia.org/wiki/Board_of_Intermediate_and_Secondary_Education,_Lahore"
Larkana,"https://en.wikipedia.org/wiki/Board_of_Intermediate_and_Secondary_Education,_Larkana"
Multan,"https://en.wikipedia.org/wiki/Board_of_Intermediate_and_Secondary_Education,_Multan"
Peshawar,"https://en.wikipedia.org/wiki/Board_of_Intermediate_and_Secondary_Education,_Peshawar"
Rawalpindi,"https://en.wikipedia.org/wiki/Board_of_Intermediate_and_Secondary_Education,_Rawalpindi"
Sahiwal,"https://en.wikipedia.org/wiki/Board_of_Intermediate_and_Secondary_Education,_Sahiwal"
Sargodha,"https://en.wikipedia.org/wiki/Board_of_Intermediate_and_Secondary_Education,_Sargodha"
Swat,"https://en.wikipedia.org/wiki/Board_of_Intermediate_and_Secondary_Education,_Swat"
PAS,https://en.wikipedia.org/wiki/Pakistan_Academy_of_Sciences
PERN,https://en.wikipedia.org/wiki/Pakistan_Educational_Research_Network
PSF,https://en.wikipedia.org/wiki/Pakistan_Science_Foundation
NTS,https://en.wikipedia.org/wiki/National_Testing_Service
Books and publishing,https://en.wikipedia.org/wiki/Books_and_publishing_in_Pakistan
Textbooks controversy,https://en.wikipedia.org/wiki/Pakistani_textbooks_controversy
Daanish Schools,https://en.wikipedia.org/wiki/Daanish_Schools
TDF,https://en.wikipedia.org/wiki/The_Dawood_Foundation
TCF,https://en.wikipedia.org/wiki/The_Citizens_Foundation
History,https://en.wikipedia.org/wiki/History_of_education_in_the_Indian_subcontinent
Pakistan International School,https://en.wikipedia.org/wiki/Pakistan_International_School
Women's education,https://en.wikipedia.org/wiki/Women%27s_education_in_Pakistan
Malala Yousafzai,https://en.wikipedia.org/wiki/Malala_Yousafzai
Academic grading,https://en.wikipedia.org/wiki/Academic_grading_in_Pakistan
Islamic studies,https://en.wikipedia.org/wiki/Islamic_studies
Pakistan studies,https://en.wikipedia.org/wiki/Pakistan_studies
Pakistani students abroad,https://en.wikipedia.org/wiki/Pakistani_students_abroad
Rankings of universities,https://en.wikipedia.org/wiki/Rankings_of_universities_in_Pakistan
Ragging in colleges and universities,https://en.wikipedia.org/wiki/Ragging_in_Pakistani_colleges_and_universities
